c_total,Cd,Pb,Mod1,Mod2,Mod3
20.0,8.0,12.0,-0.9359685844531968,-0.7087508723046392,0.5072768609066933
20.0,8.0,12.0,-0.9305945680576508,-0.7079241041342651,0.5176968804659562
20.0,12.0,8.0,-1.0194910068688894,-0.7072626895979659,0.05539977065674778
20.0,12.0,8.0,-1.0083526823842661,-0.7109004695476119,0.5059494698800356
20.0,12.0,8.0,-1.0113849486186244,-0.7113965304498363,0.31658054753948234
20.0,16.0,4.0,-0.9742972302538321,-0.7116445609009485,0.7314897976970111
20.0,16.0,4.0,-0.9939018822442877,-0.7119752681690982,0.9493312575593719
20.0,16.0,4.0,-0.9761586214075967,-0.7132980972416967,1.280930128406297
20.0,20.0,0.0,-0.9455657571223376,-0.7086681954876018,0.868692252689917
20.0,20.0,0.0,-0.9185355554754666,-0.7039556169164696,1.196441689559535
20.0,20.0,0.0,-0.9218080012135365,-0.7039556169164696,1.4650392638037193
35.0,0.0,35.0,-0.9861761082082326,-0.7006485442349732,0.2579596413247119
35.0,0.0,35.0,-0.9803217328052636,-0.693290307518644,0.4370744679843345
35.0,0.0,35.0,-0.9866164372983706,-0.6988296542601503,0.7472691585264044
35.0,7.0,28.0,-0.9604068489558473,-0.7113965304498363,0.45219013330039903
35.0,7.0,28.0,-0.963609242338668,-0.7114792072668736,0.7631148889071306
35.0,7.0,28.0,-0.9436843510099304,-0.7104870854624248,0.8914072316335968
35.0,14.0,21.0,-0.8926161840332615,-0.7016406660394222,0.6858607311556528
35.0,14.0,21.0,-0.8528964986069635,-0.701806019673497,1.0657600429850849
35.0,14.0,21.0,-0.9135918606907372,-0.7069319823298162,1.4430875347003678
35.0,21.0,14.0,-0.8080729987267949,-0.686593485338614,1.0365574403986157
35.0,21.0,14.0,-0.7938223481732428,-0.6727864568933669,0.911450836136128
35.0,21.0,14.0,-0.7865569181859683,-0.6940343988719807,1.2712401739116959
35.0,28.0,7.0,-0.4410386871382569,-0.688825759398624,0.580615215129531
35.0,28.0,7.0,-0.4366654186748424,-0.6798139863415466,1.1044866761878231
35.0,28.0,7.0,-0.3461677831721935,-0.695522581578654,1.1699270538020474
35.0,35.0,0.0,-0.04062943201313433,-0.6437668941132367,0.5848628664148355
35.0,35.0,0.0,-0.05064691881377034,-0.6164008676738548,1.1687489942658889
35.0,35.0,0.0,-0.053569102775594235,-0.558031034845445,1.565605726460873
50.0,0.0,50.0,-0.9597063254033553,-0.6680738783222346,-0.07748866349952063
50.0,0.0,50.0,-0.9338169763991141,-0.6980028860897762,-0.08996613915010296
50.0,0.0,50.0,-0.9569342536313511,-0.6978375324557015,0.3776903119292359
50.0,0.0,50.0,-0.9266015838084463,-0.6998217760645992,0.35122545333524813
50.0,10.0,40.0,-0.801748271795724,0.03153734744830926,-0.1699082637305626
50.0,10.0,40.0,-0.8065118319526698,-0.5004879701874092,0.5136151530589838
50.0,10.0,40.0,-0.7691338966875594,-0.663278622934065,0.6834050577563361
50.0,10.0,40.0,-0.7658514434701682,-0.6782431268178358,0.39416655304762455
50.0,20.0,30.0,-0.7257114439123749,-0.480976241366581,0.1744335609722765
50.0,20.0,30.0,-0.740662618018419,-0.4181418604181512,0.808528254406657
50.0,20.0,30.0,-0.8356536117363382,-0.3155399304747282,0.8721766541348934
50.0,20.0,30.0,-0.7401021991764255,-0.6372354255672815,1.4152952850797222
50.0,30.0,20.0,-0.5392120592803541,-0.35299252859267394,1.028775610504835
50.0,30.0,20.0,-0.6541679742442961,-0.4803975036473192,1.6800600177344325
50.0,30.0,20.0,-0.6031698596228764,-0.5371138001349809,1.8737595532994566
50.0,30.0,20.0,-0.4900252984160923,-0.45121258723311425,2.1026183586830762
50.0,40.0,10.0,0.5441976520451756,0.33487858915855806,0.5846139805973373
50.0,40.0,10.0,0.6573121908139956,-0.143324120585808,0.6943560337262621
50.0,40.0,10.0,0.4480557982053052,-0.23583947885066722,0.229984875437901
50.0,40.0,10.0,0.5073701281427375,0.2682410746264075,0.6071464432748516
50.0,50.0,0.0,1.1405433448023188,1.3348546912260042,0.8103202322926449
